Open time,BTCBUSD_Open,BTCBUSD_High,BTCBUSD_Low,BTCBUSD_Close,BUSDUSDT_Volume,ETHBUSD_Open,ETHBUSD_High,ETHBUSD_Low,ETHBUSD_Close,BNBUSDT_Open,BNBUSDT_High,BNBUSDT_Low,BNBUSDT_Close,BUSDTRY_Volume,BNBBUSD_Open,BNBBUSD_High,BNBBUSD_Low,BNBBUSD_Close,ADABUSD_Open,ADABUSD_High,ADABUSD_Low,ADABUSD_Close,XRPBUSD_Open,XRPBUSD_High,XRPBUSD_Low,XRPBUSD_Close,LTCBUSD_Open,LTCBUSD_High,LTCBUSD_Low,LTCBUSD_Close,LINKBUSD_Open,LINKBUSD_High,LINKBUSD_Low,LINKBUSD_Close,VETBUSD_Open,VETBUSD_High,VETBUSD_Low,VETBUSD_Close,VETBUSD_Volume,ETCBUSD_Open,ETCBUSD_High,ETCBUSD_Low,ETCBUSD_Close,EOSBUSD_Open,EOSBUSD_High,EOSBUSD_Low,EOSBUSD_Close,TRXBUSD_Open,TRXBUSD_High,TRXBUSD_Low,TRXBUSD_Close,BCHBUSD_Open,BCHBUSD_High,BCHBUSD_Low,BCHBUSD_Close,XLMBUSD_Open,XLMBUSD_High,XLMBUSD_Low,XLMBUSD_Close,QTUMBUSD_Open,QTUMBUSD_High,QTUMBUSD_Low,QTUMBUSD_Close
2020-01-21,8628.7,8765.74,8472.81,8721.25,7181621.56,166.63,169.65,164.46,169.37,17.3265,18.2,17.2228,18.1166,3198.95,17.276,18.16,17.1965,18.0964,0.04371,0.04661,0.04343,0.04612,0.23248,0.24118,0.2302,0.23685,57.18,57.89,55.78,57.56,2.6868,2.7364,2.5711,2.6703,0.005802,0.005995,0.005755,0.005956,1471671.0,8.6685,9.0376,8.5041,8.9202,3.6166,3.6734,3.5431,3.6491,0.01658,0.01735,0.01649,0.01731,341.83,347.36,331.12,344.09,0.06268,0.0645,0.06148,0.06273,1.914,1.958,1.889,1.949
2020-01-22,8720.95,8792.44,8568.37,8660.0,4517049.15,169.48,171.0,165.66,167.68,18.1107,18.4,17.55,17.8344,285.78,18.1123,18.3525,17.3276,17.7636,0.04613,0.04644,0.0451,0.04563,0.23727,0.23926,0.2322,0.23613,57.62,59.1,57.11,58.19,2.6537,2.6868,2.6146,2.6267,0.005931,0.005967,0.005798,0.005847,1151302.0,9.0354,9.4846,8.9974,9.28,3.6541,3.7279,3.5949,3.6494,0.01731,0.01749,0.01701,0.01738,343.9,353.74,338.7,348.11,0.06295,0.06373,0.06075,0.06114,1.948,2.029,1.941,1.987
2020-01-23,8654.87,8664.28,8280.0,8385.72,8725655.99,167.55,167.55,158.86,162.72,17.8344,17.8344,16.7441,17.0524,15764.7,17.7106,17.7106,16.6929,17.0109,0.0456,0.0456,0.04199,0.0434,0.23656,0.23656,0.22064,0.22509,58.19,58.21,52.3,54.36,2.6274,2.6274,2.4223,2.4445,0.005794,0.005794,0.00545,0.005598,5006713.0,9.28,9.3008,8.1897,8.4387,3.6356,3.636,3.4841,3.5655,0.01738,0.01741,0.01589,0.01624,347.16,347.16,315.81,325.0,0.0611,0.0611,0.05682,0.05794,1.982,1.982,1.832,1.881
2020-01-24,8386.86,8509.7,8218.62,8424.81,8479755.87,162.44,164.06,155.31,162.12,17.0813,17.4429,16.4288,17.1148,199.58,17.0163,17.382,16.4198,17.0688,0.04294,0.04523,0.04125,0.04511,0.2251,0.22524,0.21338,0.22178,54.14,55.25,50.53,54.34,2.4578,2.5222,2.3573,2.4891,0.005604,0.00563,0.005477,0.005564,770269.0,8.4183,8.8135,7.8265,8.6101,3.5537,3.6953,3.35,3.6197,0.01625,0.01657,0.01565,0.01636,324.93,326.53,296.76,318.42,0.05794,0.0581,0.05485,0.05723,1.879,1.903,1.8,1.896
2020-01-25,8424.24,8434.14,8252.68,8322.75,6173067.01,161.26,162.06,157.5,160.13,17.1133,17.1215,16.5685,16.9555,346.31,17.0266,17.064,16.534,16.8986,0.04484,0.04515,0.04296,0.04314,0.22191,0.22191,0.21633,0.21956,54.22,54.22,52.18,53.1,2.4776,2.4884,2.4208,2.4388,0.005574,0.005642,0.005468,0.005618,2511747.0,8.5816,8.6224,8.1088,8.3775,3.6273,3.6273,3.4872,3.4872,0.01636,0.01636,0.01592,0.01608,318.32,318.4,304.28,309.55,0.05618,0.05688,0.05553,0.05621,1.884,1.893,1.836,1.859
2020-01-26,8322.65,8597.84,8281.47,8595.94,6827070.13,159.85,167.69,159.13,167.55,16.9419,17.499,16.8315,17.499,0.0,16.8939,17.4597,16.8089,17.4597,0.04292,0.04463,0.04278,0.04463,0.21857,0.23137,0.21796,0.23132,53.05,56.48,52.81,56.18,2.4288,2.5682,2.4288,2.5563,0.005603,0.005723,0.005528,0.005723,886377.0,8.3571,9.3435,8.2346,9.153,3.45,3.6491,3.4252,3.6367,0.01608,0.01684,0.01601,0.01681,308.16,348.67,307.34,346.42,0.0558,0.05835,0.0558,0.05834,1.856,1.94,1.853,1.935
2020-01-27,8595.58,8981.59,8552.09,8891.56,9160706.86,167.68,171.63,165.0,169.75,17.4919,17.95,17.2198,17.67,299.86,17.46,17.8359,17.19,17.64,0.04471,0.04879,0.04401,0.04781,0.23128,0.23324,0.22559,0.23036,56.32,59.48,55.89,58.33,2.5711,2.663,2.5711,2.6041,0.005765,0.005866,0.005638,0.005739,3055969.0,9.1734,11.1084,9.1734,10.3898,3.6634,4.0412,3.6634,3.9483,0.01684,0.01727,0.0167,0.0171,347.95,377.04,347.94,361.58,0.0584,0.06067,0.05754,0.05971,1.94,2.024,1.924,1.993
2020-01-28,8888.29,9400.0,8885.0,9376.3,11351109.7,169.89,176.18,169.84,175.65,17.67,18.16,17.4466,18.0662,3999.16,17.64,18.1231,17.3277,18.0918,0.04807,0.05454,0.0473,0.05294,0.23095,0.24033,0.23075,0.23925,58.61,61.44,57.29,60.51,2.6124,2.6703,2.5876,2.6537,0.005797,0.005892,0.005742,0.005808,1666908.0,10.4406,11.6808,10.3519,11.395,3.9621,4.1168,3.8812,4.0343,0.0171,0.01894,0.0171,0.01862,362.7,384.45,359.66,378.22,0.0599,0.06212,0.05902,0.06091,1.998,2.062,1.993,2.055
2020-01-29,9374.29,9424.38,9217.96,9283.4,9352765.7,175.61,178.4,173.21,173.21,18.0614,18.4437,17.809,17.9134,6707.32,18.0582,18.3935,17.79,17.8696,0.05301,0.05755,0.05263,0.0533,0.23916,0.24156,0.23397,0.23545,60.67,62.4,59.35,59.81,2.6448,2.8226,2.6349,2.7695,0.005819,0.005872,0.005664,0.005722,3195405.0,11.4248,12.8558,11.3923,12.1914,4.0474,4.1122,3.96,3.9895,0.01861,0.01978,0.01847,0.01861,380.1,395.61,375.51,378.78,0.06095,0.06287,0.06031,0.06071,2.05,2.108,2.019,2.08
2020-01-30,9283.4,9561.24,9180.12,9499.49,9077597.3,173.21,186.7,170.5,184.21,17.9296,18.7027,17.7,18.5555,1819.63,17.8682,18.6518,17.6582,18.5061,0.05312,0.05715,0.0522,0.05609,0.23435,0.24622,0.23057,0.24367,59.6,70.1,58.18,67.84,2.7536,2.9419,2.7199,2.9017,0.005713,0.005812,0.005628,0.005688,5659796.0,12.2685,12.6296,11.6808,12.0992,3.9386,4.386,3.8931,4.2921,0.01862,0.01982,0.01776,0.01947,379.0,398.46,370.91,392.34,0.06066,0.06292,0.05968,0.06274,2.057,2.2,2.024,2.173
2020-01-31,9501.12,9519.42,9192.49,9336.29,8765220.75,184.73,185.48,174.93,179.72,18.5557,18.88,17.8,18.2644,79.58,18.5308,18.8122,17.7966,18.2203,0.05602,0.05669,0.05214,0.05364,0.24355,0.24453,0.23343,0.23895,67.72,69.84,65.29,67.55,2.8852,2.886,2.7695,2.8191,0.005684,0.005819,0.005493,0.005739,4977612.0,12.0991,12.1207,10.7416,11.3151,4.3071,4.3586,4.0219,4.1198,0.0195,0.01976,0.01815,0.01863,392.41,394.06,363.84,374.65,0.06279,0.06283,0.05986,0.06049,2.17,2.179,2.061,2.129
2020-02-01,9336.5,9452.23,9287.62,9377.14,9546116.77,179.8,184.02,179.08,183.52,18.2644,18.5956,18.03,18.2752,62.31,18.2203,18.5482,18.02,18.2175,0.05389,0.05716,0.05313,0.05604,0.23955,0.24256,0.23682,0.24136,67.98,72.56,67.72,70.94,2.8356,2.8722,2.7501,2.8314,0.005762,0.006157,0.005762,0.005987,11352364.0,11.318,11.7657,11.0901,11.52,4.1414,4.2632,4.0668,4.1514,0.01863,0.0191,0.01837,0.01906,375.28,388.81,372.42,380.12,0.06041,0.06236,0.06041,0.06201,2.119,2.195,2.119,2.189
2020-02-02,9376.72,9474.47,9150.0,9321.69,11297288.27,183.21,193.36,179.0,188.1,18.2753,18.7714,17.8277,18.4333,121.91,18.2471,18.7462,17.8418,18.4035,0.0561,0.05856,0.05495,0.05562,0.24102,0.26114,0.23555,0.25084,70.57,73.41,67.62,69.86,2.8191,2.8852,2.7364,2.828,0.005969,0.006439,0.005855,0.006223,12073761.0,11.4651,11.699,11.15,11.3677,4.147,4.3308,4.0524,4.2176,0.01904,0.01988,0.01851,0.01908,378.57,386.66,368.76,377.15,0.06213,0.06592,0.06097,0.06342,2.187,2.382,2.138,2.258
2020-02-03,9323.44,9601.17,9207.03,9284.88,12419027.45,188.03,195.31,186.51,189.48,18.4333,18.8763,18.1959,18.46,522.22,18.4,18.8571,18.155,18.4365,0.05549,0.05766,0.05528,0.05682,0.25011,0.258,0.24669,0.25474,69.81,72.83,68.38,69.53,2.8216,2.8695,2.7405,2.7616,0.00619,0.006369,0.00608,0.006262,7712480.0,11.3588,12.1914,11.3588,11.8173,4.1904,4.3661,4.1255,4.2005,0.01906,0.01971,0.01883,0.01917,376.16,392.05,375.31,384.69,0.06328,0.06574,0.06259,0.06411,2.244,2.369,2.24,2.269
